Issue Type,Key,Summary,Description,Acceptance Criteria,Story Points,Sprint,Priority,Labels,Epic Link
Epic,TUMI-E1,Auth & Foundation,"User authentication and project foundation setup.","High level scope: provide secure authentication using Laravel Sanctum, foundational user model and permissions, and hooks for CI/deployment migrations.",,Sprint 1,High,auth,
Story,TUMI-1,User Registration & Login,"As a customer, I can register and log in to access my dashboard.","Description:
- Backend: Implement POST /api/auth/register and POST /api/auth/login using Laravel Sanctum. Include validation (email, password strength), user creation, password hashing, and return an access token (personal access token or cookie+CSRF flow). Add migrations (users table + basic profile fields), unit tests, and API documentation (OpenAPI entries).
- Frontend: Create registration and login UI (Angular standalone components) with client-side validation, show clear error states, and store token/session securely. Implement 'remember me' optional and redirect to dashboard on success.
- DevOps: Add required environment variables (APP_URL, SANCTUM_STATEFUL_DOMAINS, SESSION_DOMAIN) to compose/dev setup and ensure migrations run at container start. Add CI job to run PHP unit tests and linting.
Suggested subtasks (create from these):
	- Backend: migration, controller, request validation, service + unit tests, OpenAPI spec entry
	- Frontend: login/register components, form validation, auth service, e2e test
	- DevOps: env config, container migration step, CI job for tests
","Acceptance Criteria:
- POST /api/auth/register returns 201 and user id on valid payload; invalid payload returns 422 with error details.
- POST /api/auth/login returns 200 with access token (or sets auth cookie) and user payload for valid credentials; invalid creds return 401.
- Token-based auth allows accessing a protected endpoint /api/me which returns the authenticated user's profile.
- Frontend: user can register and log in via the UI, errors surfaced, redirected to /dashboard on success.
- Automated unit tests (backend) and at least one e2e test (frontend) covering login flow exist and pass in CI.
- DevOps: migrations executed at container startup in dev compose and CI runs tests for pull requests.
",5,Sprint 1,High,auth,TUMI-E1
Epic,TUMI-E2,Sites & Appliances,"Site creation and appliance catalog management.","High level: allow users to create a single site (MVP), store its metadata, and provide an appliance catalog for selection during estimation.",,Sprint 1,High,sites,
Story,TUMI-2,Create Site (single),"As a customer, I can create one site with name/address/coords.","Description:
- Backend: POST /api/sites accepts name, address, latitude, longitude, timezone, and optional notes. Validate address format and coords. Add site model/migration, relation to user, repository/service layer, and unit tests. Expose GET /api/sites and GET /api/sites/{id}.
- Frontend: Site creation form with map/coords entry (simple lat/long inputs acceptable for MVP). List sites on dashboard and allow selecting the active site for estimation.
- DevOps: Ensure DB migrations and seeders for demo data include a sample site. Document ENV or API base URL for frontend.
Epic,TUMI-E3,Estimation & Recommendation,"Energy estimation and basic hardware recommendation.","- Estimation service computes totals
	- Backend: migration, model, controller, service, tests, OpenAPI addition
	- Frontend: site form component, site list, site-selection state in store
	- DevOps: seeder for demo site, update compose envs
","Acceptance Criteria:
- POST /api/sites returns 201 and saved site including coords and linked user_id.
- GET /api/sites returns list including created site; GET /api/sites/{id} returns full details.
- Frontend: user can create a site and choose it for estimation; UI shows created site in list.
- Unit tests validate model relations; CI includes a smoke test to POST a sample site.
",3,Sprint 1,High,sites,TUMI-E2
Story,TUMI-3,Appliance Catalog (seed + list),"As an admin, I seed and list appliances for users to select.","Description:
- Backend: Create appliances table and seed script with fields: name, category, typical_wattage, usage_profile (hours/day), provider_id, SKU, and price. Provide GET /api/appliances (public read) and admin CRUD endpoints (protected).
- Frontend: Appliance catalog browse/list component and selection controls when building an estimation. Admin UI (minimal) to view and add appliances.
- DevOps: Migration and seeder included in container start and demo seed job.
- Recommendation suggests panel/inverter/battery",,Sprint 1,High,estimation,
	- Backend: migration, seeder, controller, admin auth for CRUD, tests, OpenAPI entries
	- Frontend: catalog list & selection components, admin create form (minimal)
	- DevOps: seed orchestration for demo environment
","Acceptance Criteria:
- Seeded appliances exist in DB and GET /api/appliances returns them with required fields.
- Admin CRUD endpoints require admin role and return 403 for non-admins.
- Frontend shows a list of appliances and allows selecting an appliance to add to a site estimation.
- Seeder can be run independently and is idempotent for demo purposes.
",3,Sprint 1,Medium,appliances,TUMI-E2
Story,TUMI-5,Create Estimation,"As a customer, I can compute totals (kW, kWh, monthly cost) for my site.","- POST /estimations returns totals
- Persist estimation record
- Unit tests for calc",5,Sprint 1,High,estimation, TUMI-E3
Story,TUMI-6,Get Recommendations,"As a customer, I can view recommended hardware.","- GET /estimations/{id}/recommendations returns items
- Ties to provider hardware",5,Sprint 1,Medium,recommendation, TUMI-E3
Epic,TUMI-E4,DevEx & CI,"Minimal dev experience to support MVP.","- Seed data and demo script
- Basic CI checks",,Sprint 1,Medium,devex,
Story,TUMI-7,Seed Data & Demo,"As a developer, I have seed data and a simple demo script.","- Seeder for users/appliances/hardware
- Demo path works end-to-end",2,Sprint 1,Medium,devex, TUMI-E4
Epic,TUMI-E5,Project Creation & Assignment,"Project creation and manual installer assignment.","- Create project from estimation
- Admin assigns installer",,Sprint 2,High,projects,
Story,TUMI-8,Create Project from Estimation,"As a customer, I can create a project from a successful estimation.","- POST /projects creates a project linked to customer/site
- Project status initialized",5,Sprint 2,High,projects, TUMI-E5
Story,TUMI-9,Manual Installer Assignment,"As an admin, I can assign an installer to a project.","- Admin UI to select installer
- Project updated with installer_id",3,Sprint 2,Medium,projects, TUMI-E5
Epic,TUMI-E6,Payments (Upfront),"Upfront payment flow for projects.","- Payment endpoint and gateway integration
- Status update & persistence",,Sprint 2,High,payments,
Story,TUMI-10,Upfront Payment,"As a customer, I can pay upfront for my project.","- POST /projects/{id}/payments records payment
- Gateway mock/live response handled
- Status updated",5,Sprint 2,High,payments, TUMI-E6
Epic,TUMI-E7,Admin Basics,"Essential admin management for MVP.","- Manage hardware types/categories
- Basic user management",,Sprint 2,Medium,admin,
Story,TUMI-11,Manage Hardware Types & Categories,"As an admin, I can manage hardware types and categories.","- CRUD endpoints and minimal UI
- Validation in place",3,Sprint 2,Medium,admin, TUMI-E7
Story,TUMI-12,Basic User Management,"As an admin, I can activate/suspend users.","- Update user status
- Simple UI control",2,Sprint 2,Medium,admin, TUMI-E7
